id,form_factor,aspect_ratio,rect,narrow_factor,prd,plw,mean_h,mean_s,mean_v,kelas
2,0.5537,1.4871,1.3717,0.7901,4.2218,1.9944,182.89568854728813,0.13553471356620186,0.36197581368806975,0
3,0.6141,1.4374,1.3464,0.8111,4.009,1.9176,182.64133288999025,0.11597645555055248,0.3560518693238393,0
5,0.6249,1.5772,1.336,0.7773,3.9742,1.8906,178.5064887655776,0.14080868955571368,0.3612300765683472,0
6,0.5884,1.4592,1.3729,0.7972,4.0955,1.9374,181.6376174472902,0.12765296592740638,0.3573801029617093,0
8,0.548,1.5721,1.3899,0.7633,4.2438,1.98,176.3227240597879,0.12884014254704157,0.358585840786215,0
9,0.18,7.7042,2.5742,0.2534,7.4048,1.6607,177.68439784483124,0.1982923230636345,0.38032443703878155,0
11,0.5916,1.6779,1.3351,0.7539,4.0843,1.9294,176.37935715965008,0.18335101577313467,0.3718052958652219,0
12,0.3455,1.8264,1.8117,0.6203,5.345,2.1425,174.86413231744038,0.17904567693683487,0.3706159537137066,0
14,0.5757,1.7027,1.3262,0.7509,4.1406,1.9588,168.16268828789953,0.19896269904483554,0.3755014937628178,0
15,0.5516,1.6076,1.3561,0.7642,4.2298,1.9928,170.20542918412497,0.18117247233681916,0.37112990209793734,0
16,0.5769,1.6229,1.3417,0.7647,4.1361,1.9569,173.04847069218164,0.16674539181788992,0.3670588437478969,0
17,0.5939,1.7122,1.3165,0.7516,4.0764,1.9341,168.80016733665065,0.20108536830981869,0.37884795778359803,0
18,0.6316,1.6262,1.3111,0.7728,3.9529,1.8915,167.13437433468363,0.20440760116872225,0.3792868996738294,0
19,0.5593,1.7425,1.3364,0.7394,4.2007,1.9735,169.243893860874,0.19829976730959253,0.38059294407226907,0
21,0.5714,1.5683,1.3747,0.7685,4.1559,1.9503,183.69579171887963,0.13377469178151868,0.3612104902957863,0
23,0.5539,1.4851,1.3725,0.7903,4.2213,1.9938,183.0053966656437,0.13534163989710707,0.361893550037736,0
26,0.6348,1.5756,1.3357,0.7778,3.9429,1.8761,178.34681455274517,0.1403185285568985,0.3612468920082352,0
27,0.5921,1.4557,1.3719,0.7985,4.0828,1.9325,181.73597309712744,0.12722609067694385,0.35725700806839,0
28,0.5757,1.6126,1.3688,0.7595,4.1405,1.941,178.1412789475815,0.135445724108754,0.3613169477009732,0
29,0.5548,1.5759,1.3927,0.7616,4.2178,1.9654,176.22525808330704,0.12881631766566204,0.3585527270469103,0
30,0.2459,5.0769,2.6114,0.3099,6.3359,1.6404,177.81849981459422,0.1984629829021524,0.3805823949205156,0
31,0.5093,1.7819,1.3355,0.7315,4.4019,2.0624,170.36547500351375,0.21448028740069044,0.3802726574921491,0
32,0.5777,1.6707,1.3352,0.7555,4.1332,1.9534,176.370439315957,0.18258240463949585,0.37150506961153706,0
33,0.4413,1.7991,1.7883,0.6291,4.7289,1.9121,174.95885725262187,0.17878552003256254,0.3706466320140436,0
34,0.5872,1.7112,1.3349,0.7466,4.0997,1.9318,172.15274704446233,0.18336106921075881,0.3717766656791459,0
35,0.5741,1.7023,1.3264,0.7509,4.1464,1.9614,168.13163623983664,0.1981836943982978,0.37536917429115735,0
36,0.5495,1.6059,1.3562,0.7646,4.2381,1.9969,170.5365236154602,0.18077512729221887,0.37126068926117967,0
39,0.6319,1.6227,1.3106,0.7738,3.9522,1.892,167.6840477284865,0.20417457595548213,0.3795891991815696,0
41,0.5417,1.7564,1.3321,0.7377,4.2685,2.0065,168.67104052834668,0.18952538632950702,0.37960581400969307,0
42,0.5652,1.5691,1.3748,0.7683,4.1788,1.9608,183.75487122966496,0.13370844583407115,0.3612219859991171,0
43,0.5579,1.5313,1.3533,0.7838,4.206,1.9944,181.70363010529724,0.1499312531274443,0.36636456950724755,0
44,0.5628,1.5403,1.3531,0.7816,4.1877,1.9847,181.57261198226567,0.15048620888743322,0.3665175576890271,0
46,0.5757,1.6175,1.37,0.758,4.1406,1.9395,177.3129467835011,0.13876960909990774,0.36207059039583606,0
49,0.5592,1.7465,1.3371,0.7384,4.2012,1.9727,169.22784942343065,0.20181333736293813,0.38162977270244086,0
50,0.5576,1.7414,1.3359,0.7398,4.2071,1.9771,169.23932304226105,0.20183867608546469,0.381654529253369,0
53,0.3201,1.4451,1.5183,0.7618,5.5525,2.4999,185.99663164728932,0.1552311224552373,0.36705730073271264,1
54,0.2036,9.4858,1.725,0.279,6.9625,1.757,187.46057208222405,0.1316149498700446,0.36433442694792884,1
57,0.617,1.441,1.3889,0.7976,3.9995,1.8832,184.3284288215235,0.1316018039960403,0.3582261790986919,1
58,0.574,1.7335,1.3157,0.7472,4.1465,1.9647,179.3192659623093,0.14935160855798738,0.36631793013611447,1
59,0.5125,1.7579,1.3327,0.7372,4.3886,2.0622,184.2955349967777,0.1062082788828238,0.3564444633771455,1
60,0.4808,2.2793,1.496,0.6111,4.5308,1.9243,189.65980488480616,0.13190659219155765,0.3652667537373535,1
61,0.4316,1.794,1.5855,0.669,4.7819,2.0543,188.31389904013648,0.12319007236019973,0.36241189067516105,1
63,0.4087,1.567,1.4426,0.7505,4.9143,2.2514,181.89588064387678,0.12688359067638372,0.3623666940584797,1
