id,form_factor,aspect_ratio,rect,narrow_factor,prd,plw,mean_h,mean_s,mean_v,kelas
1,0.5441,1.5226,1.3921,0.7751,4.2591,1.9924,176.2764183,0.131980395,0.358845462,0
2,0.5537,1.4871,1.3717,0.7901,4.2218,1.9944,182.8956885,0.135534714,0.361975814,0
3,0.6141,1.4374,1.3464,0.8111,4.009,1.9176,182.6413329,0.115976456,0.356051869,0
4,0.565,1.5315,1.3531,0.7839,4.1794,1.9819,182.5164906,0.148188551,0.365913032,0
5,0.6249,1.5772,1.336,0.7773,3.9742,1.8906,178.5064888,0.14080869,0.361230077,0
6,0.5884,1.4592,1.3729,0.7972,4.0955,1.9374,181.6376174,0.127652966,0.357380103,0
7,0.5704,1.6124,1.369,0.7595,4.1595,1.9499,178.1473527,0.13541805,0.361303469,0
8,0.548,1.5721,1.3899,0.7633,4.2438,1.98,176.3227241,0.128840143,0.358585841,0
9,0.18,7.7042,2.5742,0.2534,7.4048,1.6607,177.6843978,0.198292323,0.380324437,0
10,0.4621,1.7762,1.3352,0.7327,4.6215,2.1665,170.0693481,0.214891689,0.380074455,0
11,0.5916,1.6779,1.3351,0.7539,4.0843,1.9294,176.3793572,0.183351016,0.371805296,0
12,0.3455,1.8264,1.8117,0.6203,5.345,2.1425,174.8641323,0.179045677,0.370615954,0
13,0.5863,1.7125,1.3358,0.7461,4.1027,1.9324,171.8334983,0.184070269,0.37182423,0
14,0.5757,1.7027,1.3262,0.7509,4.1406,1.9588,168.1626883,0.198962699,0.375501494,0
15,0.5516,1.6076,1.3561,0.7642,4.2298,1.9928,170.2054292,0.181172472,0.371129902,0
16,0.5769,1.6229,1.3417,0.7647,4.1361,1.9569,173.0484707,0.166745392,0.367058844,0
17,0.5939,1.7122,1.3165,0.7516,4.0764,1.9341,168.8001673,0.201085368,0.378847958,0
18,0.6316,1.6262,1.3111,0.7728,3.9529,1.8915,167.1343743,0.204407601,0.3792869,0
19,0.5593,1.7425,1.3364,0.7394,4.2007,1.9735,169.2438939,0.198299767,0.380592944,0
20,0.5449,1.7547,1.3305,0.7385,4.2558,2.002,168.4499664,0.189525629,0.379608931,0
21,0.5714,1.5683,1.3747,0.7685,4.1559,1.9503,183.6957917,0.133774692,0.36121049,0
22,0.5534,1.5228,1.391,0.7753,4.2232,1.9764,176.1041005,0.131452194,0.358614586,0
23,0.5539,1.4851,1.3725,0.7903,4.2213,1.9938,183.0053967,0.13534164,0.36189355,0
24,0.6133,1.4422,1.3457,0.81,4.0116,1.9188,182.4708532,0.115679466,0.355939309,0
25,0.5635,1.5318,1.3535,0.7836,4.1852,1.9843,182.3901075,0.14724969,0.365687467,0
26,0.6348,1.5756,1.3357,0.7778,3.9429,1.8761,178.3468146,0.140318529,0.361246892,0
27,0.5921,1.4557,1.3719,0.7985,4.0828,1.9325,181.7359731,0.127226091,0.357257008,0
28,0.5757,1.6126,1.3688,0.7595,4.1405,1.941,178.1412789,0.135445724,0.361316948,0
29,0.5548,1.5759,1.3927,0.7616,4.2178,1.9654,176.2252581,0.128816318,0.358552727,0
30,0.2459,5.0769,2.6114,0.3099,6.3359,1.6404,177.8184998,0.198462983,0.380582395,0
31,0.5093,1.7819,1.3355,0.7315,4.4019,2.0624,170.365475,0.214480287,0.380272657,0
32,0.5777,1.6707,1.3352,0.7555,4.1332,1.9534,176.3704393,0.182582405,0.37150507,0
33,0.4413,1.7991,1.7883,0.6291,4.7289,1.9121,174.9588573,0.17878552,0.370646632,0
34,0.5872,1.7112,1.3349,0.7466,4.0997,1.9318,172.152747,0.183361069,0.371776666,0
35,0.5741,1.7023,1.3264,0.7509,4.1464,1.9614,168.1316362,0.198183694,0.375369174,0
36,0.5495,1.6059,1.3562,0.7646,4.2381,1.9969,170.5365236,0.180775127,0.371260689,0
37,0.5781,1.6164,1.3398,0.7668,4.132,1.9573,173.2051627,0.166666601,0.367154559,0
38,0.5985,1.7146,1.317,0.7509,4.0607,1.9259,169.069215,0.201521423,0.379051038,0
39,0.6319,1.6227,1.3106,0.7738,3.9522,1.892,167.6840477,0.204174576,0.379589199,0
40,0.5467,1.7477,1.3367,0.7383,4.249,1.9952,169.4154981,0.198259902,0.380329239,0
41,0.5417,1.7564,1.3321,0.7377,4.2685,2.0065,168.6710405,0.189525386,0.379605814,0
42,0.5652,1.5691,1.3748,0.7683,4.1788,1.9608,183.7548712,0.133708446,0.361221986,0
43,0.5579,1.5313,1.3533,0.7838,4.206,1.9944,181.7036301,0.149931253,0.36636457,0
44,0.5628,1.5403,1.3531,0.7816,4.1877,1.9847,181.572612,0.150486209,0.366517558,0
45,0.5735,1.6146,1.3692,0.7589,4.1484,1.9442,177.3247464,0.139189741,0.362160343,0
46,0.5757,1.6175,1.37,0.758,4.1406,1.9395,177.3129468,0.138769609,0.36207059,0
47,0.5566,1.4909,1.372,0.7889,4.2109,1.9884,181.9393248,0.138787553,0.362918069,0
48,0.5541,1.4873,1.3708,0.7903,4.2205,1.9944,182.0078348,0.13855199,0.362748536,0
49,0.5592,1.7465,1.3371,0.7384,4.2012,1.9727,169.2278494,0.201813337,0.381629773,0
50,0.5576,1.7414,1.3359,0.7398,4.2071,1.9771,169.239323,0.201838676,0.381654529,0
51,0.52,1.441,1.3932,0.7964,4.3565,2.0481,185.8747715,0.129166084,0.360820344,1
52,0.7675,1.0739,1.2824,0.9615,3.5859,1.7854,187.6800993,0.142723963,0.362529267,1
53,0.3201,1.4451,1.5183,0.7618,5.5525,2.4999,185.9966316,0.155231122,0.367057301,1
54,0.2036,9.4858,1.725,0.279,6.9625,1.757,187.4605721,0.13161495,0.364334427,1
55,0.5807,1.3134,1.334,0.8525,4.1227,1.9953,191.1490039,0.139351734,0.367905141,1
56,0.6239,1.459,1.3154,0.8145,3.9774,1.9222,189.8708856,0.12940333,0.364275618,1
57,0.617,1.441,1.3889,0.7976,3.9995,1.8832,184.3284288,0.131601804,0.358226179,1
58,0.574,1.7335,1.3157,0.7472,4.1465,1.9647,179.319266,0.149351609,0.36631793,1
59,0.5125,1.7579,1.3327,0.7372,4.3886,2.0622,184.295535,0.106208279,0.356444463,1
60,0.4808,2.2793,1.496,0.6111,4.5308,1.9243,189.6598049,0.131906592,0.365266754,1
61,0.4316,1.794,1.5855,0.669,4.7819,2.0543,188.313899,0.123190072,0.362411891,1
62,0.4899,2.132,2.3839,0.5005,4.4884,1.5292,184.2005386,0.15424695,0.368018011,1
63,0.4087,1.567,1.4426,0.7505,4.9143,2.2514,181.8958806,0.126883591,0.362366694,1
64,0.5927,1.3974,1.337,0.8255,4.0806,1.9635,184.7312582,0.141641592,0.366599141,1
65,0.4777,1.4467,1.4276,0.7852,4.5454,2.1102,173.9405324,0.139328859,0.361254413,1
66,0.6066,1.3569,1.3638,0.8295,4.0335,1.9262,175.6348857,0.136509958,0.361632453,1
67,0.6109,1.6921,1.3367,0.7503,4.0196,1.8956,182.1686468,0.113194867,0.357982594,1
68,0.6263,1.6654,1.3252,0.7595,3.9698,1.884,185.3920191,0.119067151,0.359270431,1
69,0.5803,1.7943,1.3481,0.7255,4.1241,1.9213,183.9518615,0.097022427,0.352631294,1
70,0.6189,1.552,1.3209,0.7881,3.9934,1.9139,186.401344,0.116584594,0.3568316,1
71,0.5393,1.4421,1.3935,0.796,4.2778,2.0107,185.7151399,0.129117106,0.360920772,1
72,0.7505,1.0718,1.2837,0.962,3.6264,1.8047,187.5925377,0.142348158,0.362367876,1
73,0.3441,1.46,1.4982,0.763,5.3555,2.425,185.8963754,0.155366693,0.367138945,1
74,0.3201,1.4451,1.5183,0.7618,5.5525,2.4999,185.9966316,0.155231122,0.367057301,1
75,0.4197,3.9171,1.3948,0.4827,4.8495,1.865,187.5176151,0.131240947,0.364395725,1
76,0.2036,9.4858,1.725,0.279,6.9625,1.757,187.4605721,0.13161495,0.364334427,1
77,0.5862,1.2926,1.3413,0.8569,4.1033,1.9825,191.0605938,0.139045663,0.367730471,1
78,0.5807,1.3134,1.334,0.8525,4.1227,1.9953,191.1490039,0.139351734,0.367905141,1
79,0.5861,1.443,1.3157,0.8189,4.1035,1.9849,189.4907093,0.128686157,0.364041749,1
80,0.6139,1.4385,1.3891,0.7982,4.0095,1.888,184.1761279,0.131262043,0.358080545,1
81,0.5874,1.7361,1.3153,0.7467,4.099,1.9421,178.912899,0.148773998,0.366087157,1
82,0.5092,1.7587,1.3331,0.7369,4.4026,2.0683,184.074438,0.105538943,0.356159389,1
83,0.4715,2.2084,1.5151,0.6169,4.5754,1.9427,189.2509773,0.131274839,0.365268311,1
84,0.4409,1.7949,1.5892,0.6681,4.7314,2.03,188.4400234,0.123625969,0.362769799,1
85,0.6165,1.3473,1.3544,0.8353,4.001,1.9183,184.1690689,0.153961045,0.368008656,1
86,0.4074,1.5654,1.443,0.7508,4.9217,2.2548,181.6449408,0.126820721,0.362503129,1
